Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
3,h,1340000,27/11/2016,5.2,3056,1,1,316,132,1910
3,u,485000,29/07/2017,18,3037,2,2,345,,2005
5,h,605000,10/12/2016,13.3,3020,2,2,661,133,1960
3,h,485000,12/11/2016,13.5,3020,4,2,482,166,1955
3,t,940000,14/05/2016,7.7,3184,1,1,0,,
3,u,590000,24/06/2017,31.2,3197,1,1,179,,
2,u,622500,22/05/2016,1.2,3006,2,1,2955,67,2013
2,u,600000,24/09/2016,7.7,3184,1,1,0,75,1960
2,u,465000,4/6/2016,6.1,3182,1,1,0,,1960
2,h,2400000,12/11/2016,3.2,3054,2,0,413,172,1900
3,t,920000,15/07/2017,16.1,3111,2,2,239,187,2007
2,u,512000,10/9/2016,2.6,3121,1,1,0,61,1970
3,h,1241000,28/08/2016,13.9,3165,1,1,643,,
2,u,690000,23/04/2016,1.2,3006,3,1,0,,2013
4,h,1408000,23/09/2017,14.2,3149,2,2,692,179,1970
4,h,1950000,28/05/2016,5.5,3070,2,1,489,140,1910
4,h,2840000,10/9/2016,10.7,3187,2,2,999,274,1972
2,h,1130000,22/08/2016,7.8,3058,1,2,520,,
3,h,1225000,12/11/2016,14,3166,1,2,553,,
3,h,1200000,16/07/2016,2.5,3067,2,1,113,110,1880
1,u,375000,17/06/2017,5.3,3122,1,1,0,53,1970
2,t,801000,25/02/2017,5.2,3056,2,1,156,87,2007
1,u,324000,16/04/2016,6.3,3143,1,1,0,,
3,u,700000,13/05/2017,9.2,3104,1,1,350,120,1950
2,u,724000,22/07/2017,27,3196,1,2,224,104,2000
4,h,410500,24/06/2017,47.3,3810,2,2,425,,
2,h,815000,30/07/2016,6.6,3011,1,0,172,81,1900
4,h,1387000,24/06/2017,14.2,3149,2,4,691,,
4,h,807000,15/07/2017,45.9,3437,2,3,40468,,
3,u,648000,29/04/2017,11.5,3046,1,1,0,94,1998
2,u,424000,18/06/2016,11.2,3073,1,1,141,81,1980
1,u,490000,10/12/2016,3.3,3141,1,1,0,,
4,h,1630000,13/05/2017,10.7,3187,2,1,596,,
1,u,360000,13/05/2017,7.7,3184,1,0,0,39.5,1959
4,h,1430000,22/05/2016,5.9,3032,2,0,418,158,1900
4,h,2000000,12/8/2017,10.3,3187,2,2,619,,
2,h,1102000,12/11/2016,11.2,3186,1,2,318,,
5,h,1205000,27/05/2017,15.4,3131,3,2,477,,
3,h,1417250,4/2/2016,14.6,3189,2,2,653,180,1950
4,h,773000,30/07/2016,9.2,3012,1,2,333,137,1970
2,h,1116000,3/9/2016,3.5,3068,1,0,152,,
3,u,602500,16/07/2016,11.4,3163,1,2,0,,
1,u,330000,22/04/2017,11.4,3163,1,1,0,46,1960
2,t,771000,8/7/2017,13.8,3188,1,1,0,99,1992
3,t,500000,27/05/2017,16.5,3049,1,2,141,,2012
3,h,1510000,8/7/2017,7.8,3079,1,2,670,,
3,h,1250000,12/8/2017,8.9,3084,1,0,668,,
4,h,1660000,29/07/2017,15.2,3191,2,2,390,235,2004
2,h,680000,27/06/2016,11.2,3073,1,1,750,92,1960
2,u,546000,8/4/2017,8.9,3016,1,1,2023,,1979
2,u,655000,15/07/2017,14.5,3087,1,1,298,98,1975
2,h,1202500,24/09/2016,3.5,3121,1,1,149,77,1900
3,t,1715000,28/08/2016,3.3,3141,2,2,0,,
2,u,825000,8/10/2016,12.1,3163,1,1,0,86,
2,u,585000,8/4/2017,5.1,3181,1,1,0,79,1965
4,h,2620000,28/08/2016,13,3204,4,2,579,361,2012
4,h,1325000,17/09/2016,13.8,3107,3,2,740,,
3,h,983000,18/03/2017,9.9,3044,1,2,650,,
3,h,1540000,12/8/2017,3.5,3054,2,1,288,,
2,u,457000,4/6/2016,11.2,3042,1,1,0,89,1975
3,u,1042000,27/05/2017,10.1,3163,2,2,0,122,2008
3,u,420000,22/07/2017,17.4,3048,1,1,658,94,1990
4,h,1131000,8/10/2016,7.8,3058,2,2,494,300,2001
2,u,807000,27/11/2016,2.6,3121,2,2,0,106,2000
2,u,490000,29/04/2017,9.3,3162,1,1,0,61,1960
4,h,865000,3/12/2016,11.5,3046,1,2,696,160,1955
4,h,732000,24/06/2017,27,3196,2,2,536,202,1985
2,u,495000,13/08/2016,3.4,3068,1,1,515,50,1970
3,t,752000,8/4/2017,5.6,3101,2,2,0,102,1980
2,u,872000,28/05/2016,1.5,3002,0,0,0,,
4,h,810000,10/9/2016,8.8,3072,2,2,1034,151,1950
1,u,435000,10/9/2016,5.5,3070,1,2,0,55,1970
3,u,1160000,27/05/2017,10.1,3163,2,2,441,,
2,h,765000,10/12/2016,4.2,3031,1,2,158,76,1965
1,u,407000,20/05/2017,11.2,3073,1,1,108,,
3,h,1200000,20/05/2017,6.5,3071,1,1,447,,
1,u,500500,4/3/2017,4.5,3181,1,1,0,64,1945
3,t,1990000,22/04/2017,11.2,3186,2,2,0,189,1935
2,u,465000,13/05/2017,8,3016,1,1,0,78,1970
2,t,625000,19/08/2017,16.1,3088,2,1,189,,
2,u,520000,27/06/2016,6.3,3143,1,1,0,76,1970
5,h,1475000,8/7/2017,12.3,3166,2,3,548,157,1920
5,h,660000,1/7/2017,19.6,3076,3,2,708,,
3,h,1360000,19/11/2016,11.4,3163,2,2,282,182,2010
1,u,430000,25/02/2017,7.5,3123,1,1,2276,58,1950
2,u,620000,3/9/2016,7.5,3102,1,1,0,,1970
3,h,490000,29/07/2017,20.6,3064,2,2,400,143,1996
2,u,602000,28/08/2016,3.5,3068,1,1,0,48,1980
3,h,1121000,22/08/2016,5.5,3070,1,0,0,,
4,h,1610000,18/06/2016,11.4,3084,1,4,1613,,
3,h,710000,15/07/2017,12.1,3083,1,1,540,142,1968
4,h,677000,27/05/2017,18,3037,2,2,661,196,1999
3,t,775000,28/05/2016,3.5,3068,2,2,0,,
3,t,840000,15/10/2016,11.2,3042,2,2,374,180,1990
3,t,705000,11/2/2017,13.8,3018,2,2,197,152,
2,u,485000,14/05/2016,8.8,3072,1,1,117,73,1965
3,h,1290000,28/08/2016,8,3040,1,1,618,132,1960
1,u,545000,27/05/2017,3.5,3207,1,1,0,,2000
3,t,1235000,18/03/2017,13,3204,2,2,0,160,2012
2,u,632000,20/05/2017,4.5,3057,1,2,65,,1960
2,h,855000,26/07/2016,9.9,3044,1,2,659,,
2,u,501000,27/05/2017,7.3,3146,1,1,0,,
4,t,710000,8/7/2017,11.7,3033,2,1,330,,
1,u,390000,14/05/2016,6.3,3143,1,0,881,,
3,h,582000,8/10/2016,14.9,3087,1,0,302,90,1950
3,u,560000,25/02/2017,13.9,3020,2,7,420,150,1970
3,h,595000,26/08/2017,19.6,3076,1,2,536,0,1980
1,u,310000,1/7/2017,7.5,3040,1,1,0,,
2,u,856500,19/11/2016,9.2,3146,1,1,0,,1960
2,u,479000,4/3/2017,2.6,3121,1,1,0,62,1970
2,h,1114000,3/6/2017,12.3,3166,1,1,703,90,1960
5,h,2000000,15/10/2016,9.2,3104,2,2,1002,244,1950
3,h,1851000,19/11/2016,3.5,3068,1,1,225,,
2,u,442000,27/06/2016,13,3046,1,1,245,,
3,h,1631000,15/10/2016,12.2,3147,2,3,782,215,1950
3,u,700000,4/6/2016,13.6,3148,2,1,224,94,2006
4,h,688000,22/07/2017,15.5,3038,2,1,645,,
3,h,1900000,6/8/2016,11.2,3186,0,0,0,,
3,h,3401000,27/11/2016,9.7,3103,2,1,706,166,1930
2,u,760000,27/11/2016,2.6,3121,1,1,0,,
4,h,930000,4/6/2016,9.1,3015,1,3,669,143,1950
2,u,595000,7/11/2016,2.1,3205,1,1,0,76,2004
3,t,820000,17/06/2017,12.3,3166,2,1,200,130,2013
4,h,1410000,27/06/2016,11.7,3125,2,3,739,182,1970
2,t,595000,8/7/2017,11.2,3046,2,1,201,111,2005
2,u,445000,27/06/2016,4.5,3057,1,1,0,,
3,t,865000,13/05/2017,6.5,3071,2,2,194,,2000
3,h,1222500,4/2/2016,13,3204,2,2,299,181,2000
3,h,1560000,24/09/2016,11.2,3127,2,1,335,209,2013
3,t,980000,25/02/2017,5.5,3070,2,2,195,,
4,t,1680000,12/8/2017,7.9,3103,2,1,254,172,1995
3,h,1435000,12/11/2016,5.9,3032,2,2,532,147,1950
2,u,888000,29/04/2017,4.5,3181,1,1,0,,
4,h,1302000,17/06/2017,17.2,3132,1,1,842,160,1950
1,u,320000,19/08/2017,4,3057,1,1,682,34,1980
3,h,1355000,12/11/2016,12.1,3163,1,6,612,,
3,h,1337000,8/10/2016,11,3147,1,2,583,112,1950
4,h,920000,19/08/2017,12,3073,2,2,743,,
3,h,980000,8/10/2016,12.4,3083,1,1,907,165,1960
4,h,976000,18/06/2016,11.8,3105,1,1,701,,
2,u,800000,7/5/2016,5.1,3181,1,1,0,92,1930
2,u,592500,10/12/2016,6.3,3143,1,1,0,73,1970
2,u,820000,3/9/2017,6.3,3143,1,1,1501,,
2,u,400000,6/8/2016,5.2,3056,1,1,0,61,1970
3,u,810000,15/10/2016,13.7,3188,1,1,195,115,1960
3,h,560000,22/07/2017,16.3,3075,1,2,535,104,1970
4,t,975000,3/6/2017,17.2,3133,2,2,0,207,2008
3,h,591500,30/07/2016,12.6,3020,1,2,427,,
2,t,751000,24/09/2016,8.5,3185,2,1,0,,
2,u,1100000,28/05/2016,6.1,3182,1,2,1458,141,1920
3,h,1502000,15/07/2017,3.6,3068,1,0,179,,
3,h,865000,24/06/2017,18.8,3170,1,2,739,126,1965
2,u,602000,3/6/2017,10.1,3163,1,1,1166,,
3,u,660000,27/05/2017,5.4,3101,1,1,1096,,
3,h,695000,27/06/2016,12.8,3033,1,3,0,,
3,h,1000000,8/7/2017,6.2,3015,1,2,366,,
3,u,1000000,1/7/2017,5.3,3122,1,1,1079,90,1940
1,u,452000,10/12/2016,9.2,3146,1,1,63,52,1980
2,h,435000,6/8/2016,13.3,3020,1,4,343,81,1960
2,t,1200000,6/5/2017,6.3,3143,2,1,189,,
3,h,583000,10/9/2016,12.8,3033,1,1,412,133,2003
2,h,695000,17/06/2017,11.4,3204,1,1,126,75.45,1970
2,u,592000,4/3/2017,5.5,3070,1,2,0,,
1,u,523000,17/09/2016,3.3,3141,1,0,0,,1940
2,u,434000,10/9/2016,7.8,3058,1,1,0,80,1965
2,u,472000,22/07/2017,12.3,3166,1,1,0,70,1970
1,u,549800,3/12/2016,4.5,3181,1,1,0,51,2012
1,t,715000,27/05/2017,3.4,3031,1,0,91,,2006
3,u,1330000,27/05/2017,7.3,3146,2,2,296,,
2,u,630000,3/6/2017,5.4,3101,1,1,1037,,1960
3,t,1460000,10/12/2016,8,3016,2,2,506,180,2010
2,u,615000,17/06/2017,5,3182,1,1,1123,84,1920
1,u,241000,11/2/2017,8.2,3012,1,1,0,99,
2,u,480000,19/11/2016,11.2,3073,2,1,145,145,2010
4,h,2408000,27/05/2017,8.4,3126,2,2,654,221,1945
2,u,795000,10/12/2016,1.8,3053,2,1,0,,
3,t,890500,15/10/2016,6.9,3039,2,1,213,,1950
3,h,897000,11/2/2017,8,3040,1,2,226,,2000
2,u,420000,13/05/2017,13.9,3020,1,1,192,88,1970
3,u,1352500,28/08/2016,11.2,3186,2,1,280,110,1993
3,h,1150000,26/07/2016,8,3040,1,0,300,145,1900
4,h,1870000,12/8/2017,5.1,3011,2,2,457,,
2,u,680500,25/02/2017,3.3,3141,1,1,0,70,1970
3,h,721000,8/10/2016,13,3046,1,2,674,,1976
4,h,657000,25/02/2017,13.5,3020,2,4,651,178,1975
5,h,1775000,29/04/2017,13.8,3107,4,2,501,,
3,h,695000,29/07/2017,22.7,3174,1,1,671,142,1950
3,t,955000,27/05/2017,13.8,3165,2,2,225,,
3,t,920000,29/07/2017,14.3,3189,2,2,230,,
2,h,683000,29/07/2017,4,3057,1,1,0,91,1970
3,h,837000,23/09/2017,27,3196,1,1,441,,
3,h,1335000,30/07/2016,4.5,3057,1,2,308,113,1930
1,u,492000,4/3/2017,4.5,3181,1,1,1768,45,1888
4,t,886000,10/12/2016,12.8,3033,3,1,322,257,1950
2,h,1601000,15/07/2017,7.8,3079,1,2,697,,
3,u,815000,30/07/2016,11.2,3042,2,2,203,,
2,u,735000,23/04/2016,9.2,3104,1,1,1075,,1970
3,h,984000,29/04/2017,15,3085,2,2,552,,
3,t,1011000,3/6/2017,14.2,3149,2,2,297,135,2001
1,u,345000,7/11/2016,2.6,3121,1,0,0,,1970
3,t,730000,7/11/2016,8.7,3032,1,2,250,132,2000
3,h,950000,3/9/2017,16.7,3150,2,3,654,,
2,u,540000,3/12/2016,2.3,3051,1,1,0,65,1970
2,u,569000,11/3/2017,1.2,3006,2,1,3878,,2012
3,h,1127000,6/8/2016,11.8,3105,1,2,631,,
3,h,726000,15/07/2017,17.9,3082,2,2,615,132,1982
2,u,1350000,12/8/2017,2.7,3141,2,1,0,109,1930
4,h,870000,29/07/2017,35.4,3198,2,2,771,160,1965
3,h,1015000,13/05/2017,8.8,3072,2,1,511,,
2,h,1020000,16/04/2016,5.5,3070,1,1,354,97,1920
2,u,340000,12/11/2016,13,3046,1,1,0,74,1970
3,h,1450000,20/05/2017,5.2,3056,1,2,304,,
3,h,785000,14/05/2016,11.2,3042,1,2,620,,
1,u,421500,3/12/2016,6.3,3143,1,0,0,,
2,u,390000,1/7/2017,25.5,3750,1,1,197,,
2,u,670000,26/08/2017,16.1,3088,1,1,704,,1957
3,h,1875000,13/08/2016,11.2,3186,2,2,275,170,1991
3,h,2375000,25/02/2017,11.2,3186,2,2,470,,
2,u,715000,26/07/2016,1.6,3065,1,1,0,74,1900
2,t,797000,20/05/2017,9.2,3146,1,2,97,,1970
2,u,782000,4/3/2017,7,3013,1,1,1555,92,2013
3,t,1000000,27/11/2016,5.9,3032,2,2,200,144,2003
4,h,635000,19/08/2017,18.4,3029,2,2,512,,
3,h,775000,12/8/2017,45.9,3437,2,4,1290,231,1988
3,h,485000,16/04/2016,13.6,3043,2,1,175,134,2004
2,u,593000,3/9/2016,2.1,3205,2,1,0,83,2012
3,h,1665000,1/7/2017,3.5,3207,3,2,121,,
4,h,845000,4/6/2016,12.8,3033,1,1,622,126,1965
2,u,566000,18/06/2016,8.7,3032,2,1,3014,80,2012
5,h,1285000,19/08/2017,16.7,3150,2,1,651,124,1970
3,h,815000,12/8/2017,16.1,3088,2,2,609,168,1980
3,h,1160000,8/10/2016,10.4,3163,1,2,553,137,1930
3,u,1320000,6/5/2017,3.3,3141,2,2,15,15,
2,h,611000,8/10/2016,11.2,3073,1,2,379,,
2,h,951000,25/02/2017,7,3013,1,3,486,,
4,h,2620000,18/06/2016,4.6,3142,2,2,516,286,1925
2,u,503000,10/12/2016,5.3,3032,1,1,0,,1960
3,u,1045000,4/3/2017,12.2,3147,2,2,467,,
2,h,715000,15/10/2016,13.3,3020,1,2,588,,
2,u,590000,20/05/2017,7.8,3058,1,1,79,,
2,u,520000,17/06/2017,23.2,3153,1,1,418,76,1970
3,h,760000,29/07/2017,24.8,3156,1,3,984,,
4,h,1615000,8/4/2017,14,3166,2,2,537,199,1920
3,t,420000,9/9/2017,25.5,3750,2,2,167,,
3,h,899000,10/9/2016,13.9,3165,1,1,583,,
3,u,940000,12/8/2017,2.7,3141,2,3,0,20,
2,h,903000,22/04/2017,4.2,3031,1,0,184,,
3,u,897000,3/6/2017,10.5,3186,1,1,164,,1970
4,h,975000,3/12/2016,9.9,3044,1,1,733,159,1960
2,u,606000,12/11/2016,8,3040,1,2,0,93,1972
1,u,422000,3/6/2017,0.7,3006,1,1,63,51,2010
2,u,546000,8/10/2016,2.5,3121,1,1,0,,1980
3,h,560000,22/07/2017,24.7,3175,1,2,630,,
3,h,840000,6/8/2016,8.8,3072,1,2,647,,
3,u,501000,12/11/2016,14.5,3042,1,1,255,132,1991
3,t,714000,10/12/2016,6.4,3011,2,2,164,3,2008
3,t,865000,25/02/2017,11.2,3127,1,1,217,101,1970
3,h,412500,26/08/2017,20.6,3064,2,1,197,0,2012
4,t,970000,17/06/2017,7.5,3040,2,2,0,142,2003
3,h,725000,3/6/2017,8.4,3072,1,2,590,94,1950
2,u,420000,15/07/2017,7.5,3040,1,1,0,,
2,h,1400000,25/02/2017,3.8,3207,1,1,168,102,1934
2,u,452000,7/5/2016,9.9,3044,1,1,159,87,1990
2,h,1008000,24/09/2016,7.8,3058,1,3,457,89,1940
3,t,892000,30/07/2016,4.5,3057,2,1,0,,1995
3,t,850000,20/05/2017,13.9,3165,2,2,321,,
4,h,621000,16/07/2016,13.5,3020,1,1,700,130,1950
2,u,558000,22/08/2016,7.8,3124,1,1,0,,
2,u,835000,18/06/2016,11.2,3145,1,1,0,118,1930
1,u,430000,3/9/2016,3.3,3141,1,1,0,,1970
3,t,955000,11/2/2017,5.2,3056,2,2,327,110,2007
4,h,930000,17/06/2017,12,3073,1,5,700,,
3,u,660000,12/8/2017,11,3018,1,2,211,,
2,u,852000,22/04/2017,6.3,3143,1,1,869,74,1980
4,h,790000,27/11/2016,10.5,3034,2,2,570,,
2,h,1389000,22/05/2016,9.2,3104,1,4,701,,
3,t,881000,19/08/2017,20,3194,2,1,332,,
3,h,830000,3/9/2017,11.2,3046,1,2,655,110,1960
2,t,431000,8/4/2017,8.7,3032,1,1,0,,
2,u,592000,29/07/2017,13.8,3165,1,1,121,,
2,u,505000,29/04/2017,11.2,3073,1,1,110,1,1960
2,u,560000,25/02/2017,2.3,3051,1,1,2300,68,1975
3,u,645000,4/3/2017,11.2,3073,1,2,280,,2002
2,u,712000,26/07/2016,2.6,3121,1,1,0,,2012
3,u,537000,29/07/2017,39,3807,1,1,460,,
3,t,1007000,12/8/2017,5.4,3101,2,1,0,114,1977
2,u,490000,7/11/2016,7.5,3123,1,1,0,,
3,t,2400000,10/9/2016,4.6,3142,3,2,425,,1998
3,h,794000,25/02/2017,12.6,3020,1,0,426,,
2,u,620000,28/05/2016,1.9,3003,1,1,0,83,2002
2,t,731000,22/07/2017,12.4,3107,1,1,217,115,2005
2,u,855000,12/11/2016,13,3204,2,3,226,475,2005
3,h,951000,12/8/2017,21.5,3195,2,2,553,,
3,t,960000,27/05/2017,16.2,3094,2,2,397,,2003
3,t,1052000,20/05/2017,2.6,3121,1,2,0,100,2010
2,h,550000,4/3/2017,7.8,3058,1,1,0,,
3,u,537000,14/05/2016,14.9,3087,1,2,327,95,1960
3,u,945000,23/09/2017,17.3,3193,2,2,749,,1980
2,t,585500,18/03/2017,11.5,3046,1,1,161,86,2013
2,u,450000,18/03/2017,6.5,3071,1,1,0,52,1970
2,u,601000,27/05/2017,17.9,3192,1,1,1078,94,1972
2,t,705000,18/06/2016,5.9,3032,2,1,113,,1998
3,h,921500,22/05/2016,11.2,3073,2,1,527,177,1950
3,h,912000,16/09/2017,18.8,3170,2,1,753,,
2,u,636000,3/9/2016,13,3204,1,2,202,,1974
2,u,627500,28/08/2016,4.6,3122,2,2,0,89,2000
4,h,2286000,15/10/2016,5.6,3101,3,2,712,237,1975
3,h,1005000,3/9/2017,23,3136,1,8,1082,,
3,t,640000,10/12/2016,7.8,3058,1,2,119,109,1995
2,u,520000,15/10/2016,6.6,3183,1,0,0,58,1970
2,u,415500,22/04/2017,9.4,3041,1,1,82,,1970
2,t,1365000,8/10/2016,3.3,3141,2,1,1302,,
3,h,1275000,10/9/2016,13,3204,1,4,758,138,1960
3,h,1160000,26/08/2017,5.2,3055,1,2,575,,
2,u,588000,4/6/2016,5.6,3101,1,1,0,,1982
2,t,750000,7/5/2016,4.2,3031,1,1,325,112,2002
4,t,1400000,7/5/2016,9.2,3104,2,1,283,,
3,t,1035000,29/07/2017,7.2,3184,2,2,0,111,2010
4,h,1525000,26/08/2017,6.2,3039,3,,233,,
4,h,626800,7/11/2016,13.3,3020,1,2,581,130,1950
2,u,435000,26/08/2017,6.2,3039,1,1,1475,66,1970
4,h,2188000,19/11/2016,9.7,3103,2,2,752,253,1981
2,u,637000,3/6/2017,16.1,3088,1,1,318,104,1980
3,t,720000,15/10/2016,8,3040,1,2,190,142,1999
3,h,746000,23/09/2017,15.5,3038,2,2,649,,
3,h,510000,22/07/2017,20.6,3064,2,2,523,,2000
4,h,1290000,24/06/2017,17.2,3133,2,2,407,300,2003
3,h,612500,15/10/2016,13,3046,2,3,635,,
3,h,575500,8/10/2016,13,3046,1,1,701,,
3,t,911000,16/04/2016,2.6,3121,2,1,0,110,2000
4,h,1322000,14/05/2016,6.9,3039,1,1,549,192,1930
4,h,1400000,23/09/2017,14.2,3149,2,2,664,,
3,h,1068000,27/11/2016,14.7,3167,2,2,609,172,1970
2,u,506000,27/06/2016,9.1,3015,1,1,126,83,1975
2,u,530000,15/10/2016,8.8,3072,1,1,106,74,1970
6,h,1850000,27/05/2017,27,3196,4,4,840,547,2011
2,h,1440000,13/05/2017,6.1,3182,1,2,194,112,1890
3,h,900000,27/11/2016,12.8,3033,1,2,600,,
2,u,582500,8/10/2016,7.7,3184,1,1,0,,
4,h,975000,15/10/2016,4.2,3031,3,1,0,,
4,h,1661000,16/07/2016,13.1,3128,2,2,729,,
2,u,436000,10/9/2016,11.2,3073,1,1,140,,2011
2,h,1300000,18/06/2016,4.5,3181,1,1,126,,
3,h,690000,24/06/2017,35.2,3806,2,2,703,153,1980
3,h,770000,24/06/2017,20.8,3171,1,1,606,,
4,h,1360000,22/07/2017,11,3018,2,4,615,,
3,h,1650000,3/12/2016,7.8,3124,2,2,305,189,1998
3,h,627000,29/07/2017,12.8,3022,1,2,697,102,1960
4,h,2640000,4/3/2017,8,3016,2,2,650,,
2,u,620000,17/09/2016,5.2,3056,1,1,135,,1975
4,h,1630000,9/9/2017,21.5,3195,2,2,554,,
